Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
KINUMPIRMA ng S&R membership Shopping na pumunta sa kanilang sangay sa Bonifacio Global City si Sen. Koko Pimentel na nagpositibo sa coronavirus disease 2019.,9. Health and Safety,9. Health and Safety,15. Other,9. Health and Safety
"Updated: Kapitan minura, 4 huli sa panggugulo","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Magsasaka patay sa aksidente sa Quezon,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Ibinigay na ng gobyerno ang housing units sa mga pamilya ng mga dating kaanib ng New People's Army (NPA) sa San Mariano, Isabela kamakailan.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Nagbabala si United Nation (UN) Secretary General Antonio Guterres laban sa posibleng pagsiklab ng ikatlong digmaang pandaigdig dahil sa pag-aaway ng mga bansa, partikular sa nangyayaring giyera ngayon sa pagitan ng Russia at Ukraine.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"San Beda University, ‘kakampink’ na rin",13. Political,13. Political,13. Political,13. Political
Niretokeng AFP fixed-term pirma na lang ni Marcos,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Bantag kinalikot P1B Jail project,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MAY request ang Department of Education sa mga magdo-donate desktop, laptop, tablet o smartphone sa mga guro at estudyante ng pampublikong paaralan para sa “new normal” sa sektor ng edukasyon.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Marikina City kinumpirma ang unang kaso ng coronavirus,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
SINABI ni Presidential Spokesperson Harry Roque na nananatiling nasa ‘red na red’ sa mapa ng mga kaso ng coronavirus disease (COVID-19) ang Quezon City at Maynila.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Hiniling ni Senador Francis ‘Chiz’ Escudero sa mga economic manager na ilantad sa publiko kung ano talaga ang pakay sa planong paglikha ng Maharlika Investment Fund (MIF).,6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
Romualdez: Kababaihan swak sa digital transformation,4. Fairness and Equality,10. Quality of Life,13. Political,False
Ipinagmalaki ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. noong Sabado ang pahayag ng mga pinuno ng ekonomiya sa World Economic Forum (WEF) na ang Pilipinas ay bahagi ng “VIP Club” na isang listahan ng mga bansa sa Southeast Asia na may pinakamahusay na pagganap ng mga ekonomiya.,14. External Regulation and Reputation,13. Political,1. Economic,False
"Isang malaking katangahan na pinahintulutan ng pamahalaan ang Dito  na magtayo ng mga cellular towers sa loob ng mga military camps, ito ang tahasang pahayag ni retired Supreme Court Senior Associate Justice Antonio Carpio.",13. Political,13. Political,6. Policy Prescription and Evaluation,13. Political
"BATANGAS -- Arestado ang isang lalaki na umano'y miyembro ng crime group matapos na makumpiskahan ng mga baril at bala nitong Linggo, Marso 26, sa Brgy. Balagtas ng lalawigang ito.Inilunsad ng Criminal Investigation and Detection Group (CIDG) Provincial Field Unit at Batangas City Police ang 'Oplan Paglalansag Omega at Salikop,' at sila'y nagsagawa ng buy-bust operation laban sa mga loose firearms.Inaresto ng Tracker Team ng Batangas CIDG ang suspek na si Bryan Montejo, miyembro ng Rapol Crime Group, dahil sa paglabag sa R.A 10591 (Comprehensive Firearms and Ammunition Regulation Act).Nakumpiska ng mga pulis mula sa suspek ang isang kalibre .9mm, isang kalibre .22 rifle, tatlong magazine para sa kalibre .22, at caliber 9mm,10 basyo ng bala para sa kalibre .9mm, apat na bala para sa kalibre .22, isang suppressor, isang Mitsubishi Space Wagon, at marked money.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Aasahan ng mga motorista ang malaking rollback sa presyo ng mga produktong petrolyo sa susunod na linggo.,1. Economic,1. Economic,1. Economic,1. Economic
WALA umanong magic na nangyari sa pagkuwenta ng Manila Electric Company sa babayaran ng mga kustomer nito.,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",10. Quality of Life,False
"NIYANIG ng magnitude 3.2 lindol ang Camarines Norte kanina, ayon sa Philippine Institute of Volcanology and Seismology.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Mukhang nagkaayos na at in good terms na sina Sachzna Laparan at ang vlogger na si Veybillyn Gorens, matapos ang naging sagutan sa social media noong Huwebes, Mayo 18, 2023.Nagparinig kasi si Veybillyn sa Facebook tungkol sa isang magandang babaeng ""kumakabit.""""Sayang ganda mo bhieee kung kumakabit ka lang huhu.""Tumugon dito si Sachzna kalakip ang screenshot ng ipinadalang mensahe sa kaniya ni Veybillyn. Mababasa rito ang pahayag na ""Di kayo marunong rumespeto? HAHAHAHA.""",15. Other,15. Other,15. Other,15. Other
"COVID-19 muling sumipa sa Mexico, balik face mask inobliga",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Nagkakaisa ang mga kasapi ng oposisyon mula sa Mababang Kapulungan at Senado sa paghimok kay Pangulong Ferdinand Marcos Jr. na makipagtulungan sa International Criminal Court (ICC) sa pag-iimbestiga sa halos 8,000 tao na napatay sa madugong giyera sa iligal na droga ng administrasyon ni dating Pangulong Rodrigo Duterte.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Literal na di makabasag-pinggan?' 'Glass skin' meme sa isang bebot, kinaaliwan",15. Other,15. Other,15. Other,15. Other
UMABOT sa 4.1 milyong Filipino na edad 15 pataas ang na-stranded matapos na ipatupad ang lockdown sanhi ng coronavirus disease 2019.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
4 huli sa buy-bust,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"37 lugar sa Pasig, isinailalim sa dalawang linggong granular lockdown",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Ito lamang ang naging sagot ng Pinagkaisang Samahan ng mga Tsuper at Operators Nationwide (Piston) sa pahayag ni Department of Education (DepEd) at Vice President Sara Duterte na nalason na umano ang mga lider at ibang miyembro nila ng ideolohiya ng Communist Party of the Philippines, National Democratic Front of the Philippines, at New People’s Army.",13. Political,12. Public Opinion,13. Political,13. Political
Publiko binalaan kontra pekeng recruiter ng PCG volunteer,10. Quality of Life,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
UMAPELA si  on energy chairman at Marinduque Rep. Lord Allan Velasco sa National Grid Corporation of the Philippines na ipagpaliban ang bilyun-bilyong pagtataas na ipapataw nito sa mga kustomer.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
"5 ‘isnaberong’ taxi driver inaresto ng LTO, iba pang tsuper binalaan","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Tila going strong ang samahan nina Saab Magalona at mister nitong si Jim Bacarro matapos mag-celebrate ng kanilang 8th wedding anniversary.,15. Other,15. Other,15. Other,15. Other
"Marami ang nasasabik at atat nang mapanood ang gagawing panggagaya ni  Michael V sa social media personality-chef na si ""Ninong Ry,"" sa longest-running at award-winning gag show nitong ""Bubble Gang"" sa Kapuso Network.",15. Other,15. Other,15. Other,15. Other
"Dalagita, naligo sa breakwater sa Tondo, nalunod",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"PNP bet makipag-sanib pwersa sa PN, PCG kontra smuggling, human trafficking","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Comelec binasura DQ kay Sen Tulfo,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,13. Political,5. Constitutionality and Jurisprudence
"Todas ang naka-angkas na misis habang sugatan ang mister nitong nagma-maneho ng motorsiklo nang araruhin sila ng kasunod na truck sa Gumaca, Quezon noong Linggo.",9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
KAILANGAN umanong palakasin ang ekonomiya sa mga kanayunan para hindi gumuho ang bansa kahit na nagkaroon ng problema ang mga malalaking siyudad.,1. Economic,1. Economic,1. Economic,1. Economic
Tatlong person of interest ang binabantayan ng pulisya na responsable umano sa pagpatay sa isang kandidato ng Mr. Cagayan de Oro.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Aminado ang Philippine Coast Guard lady officer na nasa likod ng tinig na nagpalayas sa pitong Chinese militia vessel sa Sabina Shoal na bahagi ng West Philippine Sea na mayroon siyang naramdamang kaba habang ibinibigay ang radio challenge.,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"Solido kaagad ang unang laro ni Meralco Bolts import KJ McDaniels dahil sa double-double nito matapos tambakan ang Rain or Shine (ROS), 105-987, kung saan bumira lang ng 14 puntos si James Yap sa pagsisimula ng PBA Governors' Cup sa PhilSports Arena sa Pasig nitong Linggo ng gabi.",15. Other,15. Other,15. Other,15. Other
"ARESTADO ang tatlo katao sa magkakahiwalay na operasyon ng pulisya kung saan nasamsam ang P221,000 halaga ng shabu sa Quezon City.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Gumaling na OFW sa COVID-19 ngayong araw mas marami kesa nahawa, namatay",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
DENR chief hinahanting sa Mindoro oil spill,9. Health and Safety,"7. Law and Order, Crime and Justice",13. Political,False
Big time tulak timbog sa P34M shabu,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Tumodo sa 716% ang natulungan ng Philippine Charity Sweepstakes Office (PCSO) nitong nakaraang taon kumpara noong 2021.,6. Policy Prescription and Evaluation,10. Quality of Life,15. Other,False
"Nanawagan si Manila Mayor Honey Lacuna sa mga Manilenyo nitong Huwebes na maging maingat at huwag basta-basta magpalinlang sa social media.    Kasunod na rin ito ng kumalat na social media posts na may 'serial killer' umanong gumagala sa Tondo, na nagdulot ng pangamba at takot sa mga residente. ""Gusto pong ipaalala ng inyong pamahalaan... kung maari po kami po ay nakikiusap sa inyo. 'Wag po kayo basta-basta naniniwala sa mga nababasa ninyo sa social media. Alam nyo naman po na ang social media minsan po talaga ay hindi nagagamit sa tamang paraan,"" sabi ng alkalde.    ""... so 'yung kinakalat po na serial killer sa Balut, Tondo, wala po itong katotohanan. Bagamat may mga hindi maiiwasang pangyayari sa ating lungsod, na nangyayari naman kahit saang lungsod, makakasiguro po kayo na ang atin pong mga kapulisan ay 24/7 na titiyakin ang inyong seguridad dito po sa ating lungsod,"" aniya pa.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Vice Ganda, kalmadong pinagsabihan ang nanabunot sa kaniya habang nasa venue ng concert sa Canada",15. Other,15. Other,15. Other,15. Other
Naghain ng resolusyon ang mga miyembro ng Makabayan bloc upang paimbestigahan sa Kamara de Representantes ang napaulat na pagdukot sa dalawang aktibista sa Cebu na nakuhanan ng video.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Mga nagwagi sa ‘Dream Maker,’ may bagong pangalan",15. Other,15. Other,15. Other,15. Other
"CANDELARIA, Quezon -- Patay ang dalawang rider at sugatan ang isang back rider nang magbanggaan ang sinasakyan nilang motorsiklo habang binabagtas ang Maharlika Highway sa Brgy. Masin Sur, nitong madaling araw ng Easter Sunday, Abril 9, sa bayang ito.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Kinumpirma ng Vivamax star na si Ava Mendez na hiwalay na sila sa rapper na si Skusta Clee.,15. Other,15. Other,15. Other,15. Other
"2 Indian national, 5 pa huli sa curfew","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Umakyat na sa 28 ang mga nasugatang pasahero sa banggaan ng isang fast craft at cargo vessel sa bahagi ng Barangay Looc sa Mandaue City, Cebu noong Linggo.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
DOH kinumpirma ang unang kaso ng local transmission; 2 bagong kaso COVID-19 naitala,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Si Pat. Brayan Bangayan (kaliwa) habang nagpapaanak sa isang ginang sa kasagsagan ng pagbaha sa Tuguegarao City. Makikita naman si Pat. Jayrick Talosig (kanan) habang nagliligtas sa taong apektado ng pagbaha sa Ilagan City.,15. Other,3. Morality,9. Health and Safety,False
Negosyante buking sa kaso pagkuha ng police clerance,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagkalat ang utak at nagkaluray-luray ang katawan ng isang nurse nang pasabugin umano nito ang granada sa kanyang ulo sa loob ng sementeryo nitong Miyerkoles sa bayan ng Midsayap sa North Cotobato.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",9. Health and Safety,"7. Law and Order, Crime and Justice"
Grupo ng mga abugado nangakong ipagtatanggol mga tsuper na biktima ng kill-switch modus ng isang TNC,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Baby, 3 pang kapatid ligtas sa plane crash",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Sugatan ang isang mag-asawa at kasama nila habang masuwerteng hindi tinamaan ang dalawang taong-gulang nilang anak matapos na tambangan ang sinasakyan nilang van ng hindi pa kilalang mga suspek sa Datu Odin Sinsuat, Maguindanao del Norte nitong Lunes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
